orig,read,kind
codecs,コーデ’ックス,4
colaboratory,コラボラ’トリー,4
collaborate,コラボレ’ート,4
collaborator,コラボレ’ーター,4
collaboratories,コラボラ’トリーズ,4
collaborators,コラボレ’ーターズ,4
collaboratory,コラボラ’トリー,4
compression,コンプレ’ッション,4
configs,コ’ンフィグズ,4
crypto,クリ’プト,4
daemon,デ’ーモン,4
decompress,デコ’ンプレス,4
decompressed,デコ’ンプレスド,4
decompressing,デコ’ンプレシング,4
decompression,デコンプレ’ッション,4
donate,ドネ’ート,4
donation,ドネ’ーション,4
enhance,エンハ’ンス,4
exploit,エクスプロ’イト,4
exploits,エクスプロ’イツ,4
extractor,エクストラ’クター,4
hasher,ハ’ッシャー,4
ime,アイエムイ’ー,4
impair,インペ’アー,4
